Artists,weeks_on_chart,streams,artist_genres
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny,58,7725632,"['latin', 'reggaeton', 'trap latino']"
Coldplay BTS,42,7725313,"['permanent wave', 'pop']"
Benson Boone,11,7706393,['pop']
Paloma Faith,8,7684157,"['british soul', 'dance pop', 'uk pop']"
Charlie Puth,25,7678666,"['dance pop', 'pop', 'viral pop']"
TiAsto Ava Max,36,7581340,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Guns N' Roses,6,7448276,"['glam metal', 'hard rock', 'rock']"
Harry Styles,8,7444904,['pop']
Harry Styles,8,7444904,['pop']
Harry Styles,8,7444904,['pop']
Harry Styles,8,7444904,['pop']
Harry Styles,8,7444904,['pop']
Harry Styles,8,7444904,['pop']
Jax Jones MNEK,13,7444100,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance', 'uk pop']"
The Walters,40,7388259,['chicago indie']
Eminem,42,7370646,"['detroit hip hop', 'hip hop', 'rap']"
Eminem,42,7370646,"['detroit hip hop', 'hip hop', 'rap']"
Eminem,42,7370646,"['detroit hip hop', 'hip hop', 'rap']"
Panic At The Disco,12,7331020,['modern rock']
Musical Youth,6,7298167,['uk reggae']
